title,rate,casting,director,year,genre,user_review,link
Barbie,6.8,"['Margot Robbie', 'Ryan Gosling', 'Issa Rae', 'Kate McKinnon', 'Alexandra Shipp']",Greta Gerwig,2023.0,comedy,"I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.Anyway, I embraced the journey and I'm glad that I did. Here is my review written as a pretentious critic that I aspire to be in my next life:In Greta Gerwig's latest directorial venture, ""Barbie,"" the esteemed filmmaker takes on the monumental task of unravelling the enigma that is Barbie, the iconic doll that has fascinated and polarized society for decades.With Margot Robbie as the eponymous character and Ryan Gosling as Ken, Gerwig's live-action rendition delves into the complex world of Barbie, attempting to extract deeper meaning from this cultural phenomenon.Gerwig masterfully navigates the treacherous waters of branded material, infusing the narrative with a blend of adventure, comedy, fantasy, and romance. The result is a thought-provoking exploration of Barbie's role as a feminist symbol, challenging societal perceptions of femininity and girlhood.Can a doll with impossibly perfect features and a smile of perpetual happiness truly embody feminist ideals?Gerwig compels the audience to contemplate this question, weaving it throughout the fabric of the film.In reality Margot Robbie dominated the film as expected and has developed into a true cinematic icon. The flm was fun and far above my expectations hence I'm giving it an 8 and boasting I watched Barbie.",https://www.imdb.com/title/tt1517268/?ref_=sr_i_20
Ghostbusters: Afterlife,7.0,"['Carrie Coon', 'Paul Rudd', 'Finn Wolfhard', 'Mckenna Grace', 'Logan Kim']",Jason Reitman,2021.0,comedy,"Just seen it a couple of hour ago and had enjoyed it all along.If you liked the 1984 Ghostbusters, you'll probably like this oneLots of fan services but that's what we asked for.And don't be afraid, this one is way way better than the 2016 reboot (well actually, that wasn't too difficult. Even 1 is way better than zero...).And yes, there are 1 thing or 2 that can be discussed but.nothing serious.At least, nothing serious enough to hinder the pleasure you feel as you watch it.I enjoyed it so much that at some point, I grew back to this 12 years old kid who sees ""Ghostbusters"" for the first timeA good story, interesting characters and lots of winks to the first movie.And finally, a loving and respectful tribute to Harold Ramis.",https://www.imdb.com/title/tt4513678/?ref_=sr_i_21
The Bear,8.6,"['Jeremy Allen White', 'Ayo Edebiri', 'Liza Colón-Zayas', 'Ebon Moss-Bachrach', 'Lionel Boyce']",Creator,2022.0,comedy,"Great acting, writing, direction. Shots and scenes are artful and not pretentious, soundtrack choice is excellent. Having worked in a kitchen and a fan of cooking/food shows, Bourdain, this is well conceived masterpiece.Sure the episodes are short and only 8 episodes, but if that was its first and only season, it was short and sweet, and even the little bit of filler made sense. A nice tight package, a must watch!",https://www.imdb.com/title/tt14452776/?ref_=sr_i_22
Suits,8.4,"['Gabriel Macht', 'Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty', 'Rick Hoffman']",Creator,2011.0,comedy,"I don't even know how to describe how much I loved Suits. It's absolutely my favorite lawyer show of all-time. Even though it probably ran a season too long it went out with a string ending.! All you have to do is read through the reviews to see how loved this show really is. The writing and acting is what makes this show so special. The entire cast...Gabriel Macht (Harvey), Patrick J Adams (Mike), Meghan Markle (Rachel), Sarah Rafferty (Donna) and Rick Hoffman (Louis Litt), etc) are all perfect! I can not recommend this show enough. If you're a fan of lawyer type shows then watch this as soon as possible because this is the best of them!",https://www.imdb.com/title/tt1632701/?ref_=sr_i_23
The Office,9.0,"['Steve Carell', 'Jenna Fischer', 'John Krasinski', 'Rainn Wilson', 'Leslie David Baker']",Creators,2005.0,comedy,"I am a huge fan of the British version of the Office. I remember looking forward to the American version when it first came out and being disappointed immediately to the point that I refused to watch it after the first episode. Almost 6 years later I gave it another go as people were telling me that it was actually quite good. I took the advice that I should start from season 2. This time around I enjoyed it more and gradually warmed to the characters that were basically copies of the British version. I can't believe that I would ever say this, but this show is as good as the British version. The bonus is that there is a lot more of it. It was certainly a knee-jerk reaction to give up on it so quickly, but it seems that a lot of people did. The Jim/Pam relationship is a clone of Tim and Dawn, but some of the pranks that they play on Dwight(Gareth in British version) are quite brilliant. There are certainly differences between the two versions, but generally the American version stays fairly true to the original.If you loved the original, definitely give this a go.",https://www.imdb.com/title/tt0386676/?ref_=sr_i_24
The White Lotus,8.0,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco', 'Meghann Fahy']",Creator,2021.0,comedy,"Though some of the first season was cringe-worthy. This second season is about as masterful as anyone could hope for.It starts a bit slow, the first episode, but soon finds its legs and impresses again and again, captivating me as if I weren't quite seasoned. It feels like a review of every thought I've ever had at a vacation resort, many of which I'd long forgotten. On that score alone it's a delight, but not to worry, it goes way beyond that to flirt with opera-like heights of drama and beauty something quite appropriate given its setting in Sicily.Given the excellence of the acting and the seeming effortlessness of the story I would have to say Mike White, this series' creator, is some sort of unsung genius. The guy seems unaware of boundaries coupled with one of the sharpest eyes for detail I've ever seen.",https://www.imdb.com/title/tt13406094/?ref_=sr_i_25
The Gentlemen,8.2,"['Theo James', 'Kaya Scodelario', 'Daniel Ings', 'Joely Richardson', 'Vinnie Jones']",Creator,2024.0,crime,"If that makes any sense. What I'm trying to say while pointing Aristotle's quote into a mirror, is that this is worth watching simply for all of the outstanding individual performances. There are many other reasons to tune in, but the acting clinic on parade here is a lot of fun.The Parts:#1 - The StoryOf course, this story began with the film but has only a very tangential relationship with that work. Every episode has a beginning, middle, and an end, as well as a cliffhanger or something else to propel viewers onward. As with his movies, some of the stories worked for me, others didn't. Some of the conflicts were just way too facile with their resolutions. Eddie was pushed into way too many predicaments as he tried to extract his family from the business, accepting too many dangerous assignments for reasons not adequately explained, not to me.#2 - The DialogueRitchie seems to have developed his own form of dialogue in which street toughs and lowlifes converse with a sort of modern day Shakespearean banter, well above the vernacular of the average dirtbag, whether in real life or in other movies. While Tarantino was propelled into stardom for the way in which some of his characters lapse into long soliloquys, whether on their own or in a group, Ritchie's creations throw around a lot of word-a-day calendar vocabulary in their speechifying. It comes off affected at times, but more often than not his dialogue is a lot of fun.#3 - The CharactersBringing fun-as-hell characters to life on the screen is definitely Ritchie's strong point, or one of them. Eddie, Susie, Jimmy, Bobby, and Geoff could all walk away from this and carry their own series. It helps to have such talented actors reading you lines, and it definitely is important for actors to have great material to spin into the roles they help to create.Compared to about 99% of what is out there in TV and movie land, this series was positively brilliant. Period.",https://www.imdb.com/title/tt13210838/?ref_=sr_i_1
Ripley,8.1,"['Andrew Scott', 'Dakota Fanning', 'Johnny Flynn', 'Margherita Buy', 'Vittorio Viviani']",All cast & crew,2024.0,crime,"This masterpiece of a series is completely unique from the movie, and really elicits its own distinctive film noir vibe both in cinematography and dialogue. Purposeful yet subtle performances by all involved; Andrew Scott is absolutely perfect for this role.I haven't seen a TV series interpreted from a film source this well since Hannibal, where Mads Mikkelsen was also perfectly cast and gave an unforgettable performance.What else can be said about this series? A bit of a slow burn, but the pacing is completely suitable, and allows for a bit more fleshing out and development of the characters. Although I love the vibrant colors along the coast of Italy as much as anyone, I feel the choice to use a monochromatic palette here really enhanced the mood and atmosphere of the story.Top notch production in all aspects!",https://www.imdb.com/title/tt11016042/?ref_=sr_i_2
The Rookie,8.0,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil"", 'Eric Winter']",Creator,2018.0,crime,"Please bring this show back for a second season. Nathan has many fans, not to mention the rest of the cast is great. Pls pls pls.",https://www.imdb.com/title/tt7587890/?ref_=sr_i_3
True Detective,8.9,"['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch', 'Matthew McConaughey']",Creators,2014.0,crime,"Watch the show and make up your own mind. I've seen too many people regurgitating the same ""SEASON 1 IS AMAZING, SEASON 2 IS THE WORST OF ALL TIME"" junk, and it's simply not true.Fact of the matter is this is an anthology series. Different people, different stories, different feels. If they wanted a show with 3 seasons of Matthew McConaughey and Woody Harrelson, they would have done that.Some detective stories are eerie and disturbing. Some are broody and slow burning. Season 2 is the latter, and all the hate it gets for basically not being exactly like the first season detracts from the performances and character arcs within.There are also a lot of complaints about Vince Vaughn? Aside from some stiff writing, I hardly see the issue. He's got some great scene-chewing moments as a brutal crime boss!I honestly can't believe some publications labeled this as one of the worst seasons of television in 2015. Just goes to show that some people have no clue how to manage their expectations, and this site is no different. Look at what I've said, and now put it up against so many here...it's ridiculous.Like I said: watch it and make up your own mind. I avoided it for 5 years because of this site and I regret it. Season 2 isn't season 1, just like season 3 isn't 1 or 2. If you want the same thing over and over again, watch CSI.",https://www.imdb.com/title/tt2356777/?ref_=sr_i_4
The Gentlemen,7.8,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong', 'Lyne Renée']",Guy Ritchie,2019.0,crime,"Matthew McConaughey, who has become one of the major players in the British weed trade through science, paying poor noblemen to let him stash his farms on their property, and a judicious amount of leg-breaking, thinks it's time to retire. He offers to sell his business to a fellow entrepreneur for £400,000,000, but other people in the illegal fun trade have their own agendas.Guy Ritchie has returned to his early themes of violence, chaos, and rock&roll from his early career, and has scored a definite hit, with some fine performances, including a blank-faced one by Charlie Hunnam and an outsized comedy turn by Colin Farrell. Hugh Grant does well as the unwanted on-screen narrator of events, putting them into some order; I am impressed by his lack of a posh accent, event as I wished Ritchie had been able to think of a better way of telling the audience the story.Even with that cavil, the unceasing action and insanity kept me more than interested throughout.",https://www.imdb.com/title/tt8367814/?ref_=sr_i_5
Sugar,8.0,"['Colin Farrell', 'Kirby', 'Amy Ryan', 'Dennis Boutsikaris', 'Nate Corddry']",Creator,2024.0,crime,"I admit I have a soft spot for private detective drama's whatever the time frame and this looks to be a good one. The genre relies on a strong male lead with some kind of vulnerability and Colin Farrell as Sugar completely embodies the requirement. All the cool you expect from the genre is on display, the car, the suits, the neon, every box ticked. The plot conforms to all the requirements, wealthy man hires private eye to find granddaughter, money is no object, all is not as it seems, dark secrets, etc. The directorial style and cinematography really lift this piece and the referencing to classic noir enhances the look. We're only two episodes in so it could go badly off the rails but as I say, if the reviewer at The Guardian hates it then it is going to be good.",https://www.imdb.com/title/tt16418808/?ref_=sr_i_6
Monk,8.1,"['Tony Shalhoub', 'Jason Gray-Stanford', 'Ted Levine', 'Traylor Howard', 'Stanley Kamel']",Creator,2002.0,crime,"Monk is one of the best new shows around. Tony Shalhoub plays Monk perfectly. Monk isn't your average detective. His wife was killed in a car explosion 3 year ago. He suffered a major breakdown and is now trying to get reinstated on the police force with the help of his private nurse. Monk's got lots of problems. He is Obsessive Compulsive, has fear of crowds, heights, the dark, and milk. Yes milk. Yet he is the greatest detective around. In one episode he even tried to straighten up the crime scene because the mess was driving him crazy.Here is a sample story. The chief described Monk's first day on the job in one ep. It was as follows:They were called to a run down hotel. A prostitute had ODed on some pills. Over a dozen cops said suicide. Monk said murder. They all thought he was crazy. The chief asked ""why murder?"". Monk points out that if she was commiting suicide where was the glass of water needed to get the pills down..He notices little thing no one else would.I give this show a 10/10.",https://www.imdb.com/title/tt0312172/?ref_=sr_i_7
Tokyo Vice,8.0,"['Ansel Elgort', 'Ken Watanabe', 'Rachel Keller', 'Shô Kasamatsu', 'Rinko Kikuchi']",Creator,2022.0,crime,"Irony -- other shows work so hard to create a vibe of tension and potential threat. Here, if you can relate to this wonderfully relatable character, every second of every moment is filled with tension because the Japanese culture is one of the most unique on the planet. And one of the most especially unforgiving towards outsiders. (I have seen thousands of films, submitted almost 2000 reviews here, and yet the most terrifying movie I have ever seen is Japan's 1964 ""Woman in the Dunes,"" which is not even a horror movie!) Excellent and addictive series. ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",https://www.imdb.com/title/tt2887954/?ref_=sr_i_8
Anatomie d'une chute,7.7,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Samuel Theis']",Justine Triet,2023.0,crime,"There are so many things I got from this after watching it. So many subtle little thing that throw shade over both characters, thus showing such complex humans with flaws and virtues.Technically it does not stand out but it's servicable for the themes and story. Was this the perfect long-game psychological crime? That last scene speaks volumes. The last courtroom scene with the kid was devestating and conclusive, even if that lawyer tried to flip it. Even him knew the conclusion at that moment. It was cathartic.It was a very devastating and powerful film. I would very much like to see it again so I can absorb that excellent dialogue all over again.",https://www.imdb.com/title/tt17009710/?ref_=sr_i_9
Breaking Bad,9.5,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt', 'RJ Mitte']",Creator,2008.0,crime,I wanna delete my brain and watch it again like I never knew it.,https://www.imdb.com/title/tt0903747/?ref_=sr_i_10
Law & Order: Special Victims Unit,8.1,"['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek', 'Richard Belzer']",Creator,1999.0,crime,I have never one been that big of a fan of the original Law & Order. I would watch it for time to time and it was an alright show but never really had anything jump out at me to make it one of my can't miss shows. Then this show came on. I watched this show when it premiered back in 1999 and was impressed from the get go. Sure it followed the basic premise of it's original cousin but was much more loose on it's format and execution. Some episodes hardly ever involve the court room at all where the original week in week out follows a distinct pattern. First half hour is the law then the next is the order. This show although does sometimes follow the same pattern like i mentioned it is much more loose in how it executes it. Mariska Hartigay is excellent as her portrayal of Det. Olivia Benson. The whole cast as a whole is magnificent. Now I know a lot of people will disagree with me that this show is in no way better than the original but for me it is. It has given me something that the original never did.,https://www.imdb.com/title/tt0203259/?ref_=sr_i_11
Love Lies Bleeding,7.3,"['Anna Baryshnikov', 'Kristen Stewart', 'Dave Franco', ""Katy O'Brian"", 'Jena Malone']",Rose Glass,2024.0,crime,"My wife and I watched Love Lies Bleeding (2024) in theaters last night. The storyline follows a young woman who manages a gym in her small hometown. Meanwhile, a desperate homeless hitchhiker with dreams of becoming a bodybuilder arrives in town and forms a relationship with the gym manager. Their seemingly perfect life is disrupted when the manager's brother-in-law severely beats his wife, sparking a tale of revenge that spirals into deeper complexities.Written and directed by Rose Glass (Saint Maude) and starring Kristen Stewart (Twilight), Anna Baryshnikov (Dickinson), Ed Harris (Needful Things), Dave Franco (Neighbors) and Katy O'Brian (The Mandalorian).This movie excels in so many ways. The cast is impeccably chosen, and the costumes and portrayal of the 80s era are magnificent. The entire ensemble looks wild, especially Ed Harris. The film maintains a dark, gritty atmosphere reminiscent of a Netflix serial killer docuseries. The cinematography stands out with its elite camera angles, use of colors, and character delivery. The acting, particularly by Stewart, is outstanding, and the well-written storyline unveils deep subplots that are compelling. There's an opening toilet scene that almost made me gag, lots of pricks and the action scenes were intense and so well done. The corpses are awesome too. I will say the sex scenes were a bit much and overdone and the ending was a HUGE letdown. They took some liberties with the ending that was eye rolling and left me wondering why that was Glass' direction.In conclusion, Love Lies Bleeding offers enough redeeming qualities to warrant a watch, but its failure to deliver a satisfying conclusion diminishes its impact. I would rate it a 6.5/10 and recommend see it at least once.",https://www.imdb.com/title/tt19637052/?ref_=sr_i_12
The Sopranos,9.2,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli', 'Steven Van Zandt']",Creator,1999.0,crime,"What can you possibly say about a show of this magnitude? ""The Sopranos"" has literally redefined television as we know it. It has broken all rules, and set new standards for television excellence. Everything is flawless, the writing, directing, and for me, most of all, the acting. Watching this show you'll find yourself realizing that these characters are NOT real. The acting tricks you into thinking there is a real Tony Soprano, or any character. This show is also very versatile. Some people don't watch the show because it's violent, it's not all about the violence, it's about business, family, and many deeper things that all depend on what you, as a fan see. For me, I don't like when people refer to the show, a show about the Mafia. For me, it's a show about family. A family who, through generations, happen to be apart of the mob. Overall this is a masterpiece of a show. This is what television should be. Right here. Complex characters from stunning acting, magnificent story lines from brilliant writing, and what do you get when you mix these ingredients together? A show that defines excellence, and dares to be different.",https://www.imdb.com/title/tt0141842/?ref_=sr_i_13
Elsbeth,7.9,"['Carrie Preston', 'Carra Patterson', 'Wendell Pierce', 'Fredric Lehne', 'Danny McCarthy']",Creators,2024.0,crime,"Robert & Michelle King are the talented writing duo responsible for some of the best network TV shows in recent years, including ""The Good Wife"" and ""Evil."" After ending ""The Good Fight,"" 2024 brings us yet another such spinoff of ""The Good Wife,"" one named for that show's kooky lawyer character named ""Elsbeth."" The Leap Day pilot episode sets up the show's clever premise: that her title character has been designated an impartial observer of the NYPD in a formal legal consent decree to hopefully ferret out any police corruption in the ranks. But in the meantime she cannot help but help those hapless officers solve their trickiest cases. Like Columbo's classic show, we are privy to the perpetrator's machinations, but get pleasure from observing the observer, Elsbeth, investigate and determine those guilty of the crime(s). Carrie Preston is outstanding in the lead role, and Wendell Pierce excels in the role of the NY Police Captain, who may or may not be on the straight and narrow himself. I'll revisit my rating of 8/10 stars as we proceed.",https://www.imdb.com/title/tt26591110/?ref_=sr_i_14
NCIS: Naval Criminal Investigative Service,7.8,"['David McCallum', 'Sean Murray', 'Mark Harmon', 'Brian Dietzen', 'Rocky Carroll']",Creators,2003.0,crime,Great show for 15 years after that it went downhill. It started when Michael Weatherly left and went from there. From about the 2019 season onward it left its primary theme of military based crime investigation and started become a melodrama of horrible episodes about things like prison reform and side stories that had next to nothing to do with the military. Once this started happening the show lost all respect and became unwatchable.,https://www.imdb.com/title/tt0364845/?ref_=sr_i_15
Criminal Minds,8.1,"['Kirsten Vangsness', 'Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna', 'Thomas Gibson']",Creator,2005.0,crime,"Criminal Minds is about an elite squad of FBI profilers that investigate the country's most twisted cases and killers. They try to analyze how to get a step ahead of these killers to catch them before they kill more. This series was so good that it went 15 seasons. Not only the 15 seasons but even though it's only been off the air for a short time, people have missed it so much that they're bringing it back later this year with the same cast. The characters are all very well written and developed throughout the show. The writers also keep the shows fresh and that's not an easy job after 15 seasons. I'm looking forward to it returning later this year.",https://www.imdb.com/title/tt0452046/?ref_=sr_i_16
The Boys,8.7,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty', 'Jessie T. Usher']",Creator,2019.0,crime,"The Boys is one of the best Superhero shows I've ever seen. While Season 1 was the best season of the series, Season 2 and 3 were also both very good and absolutely worth watching. Season 3 was fantastic, Jensen Ackles was the perfect actor to add to this already incredible show! This show continues to amaze as it's not afraid to try new things and is a show that is definitely for adults. It has no problems being offensive and making you feel squeamish. You don't even have to be a fan of superhero shows to enjoy this. It's violent, funny, thrilling, etc.. Everything you want in a good superhero show. Season 4 just added Jeffrey Dean Morgan to the cast. Another great addition to an already incredible cast. I don't know what else I can say except I absolutely love this series and can't wait for more to come!",https://www.imdb.com/title/tt1190634/?ref_=sr_i_17
Fargo,8.9,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks', 'Jason Schwartzman']",Creator,2014.0,crime,"Just finished episode 5 and I'm done. As everyone has said, this is not the Fargo we all used to love. The storyline is not particularly scintillating and I've yet to latch onto any of the characters, other than the nurse and the undertakers' daughter. Disappointed for sure.",https://www.imdb.com/title/tt2802850/?ref_=sr_i_18
Quiet on Set: The Dark Side of Kids TV,7.7,"['Drake Bell', 'Giovonnie Samuels', 'Kate Taylor', 'Scaachi Koul', 'Rick Ellis']",All cast & crew,2024.0,crime,"Many people know sexual harassment, sexual assault and predation has been happening in Hollywood for decades.""Quiet on the Set"" covers Nickelodeon's rise with creator, Dan Schneider, and some of his less-than-tasteful actions to the discovery of three sex offenders working among them. It is an interesting documentary that will hopefully give confidence to those who were previously afraid to speak out.It's very disheartening to see the support given to one of the offenders by many of Hollywood's ""elite"". To then find out the offender, not only didn't serve any time for his crimes, but went on to be employed by Disney working on another kid's program.It's a disgusting look at how the industry turns a blind-eye in keeping kids safe from these people. I certainly hope this documentary will prompt a huge step toward shutting these criminals down and ensuring kids are safe without the almighty dollar being the bottom line.",https://www.imdb.com/title/tt31193442/?ref_=sr_i_19
Joker: Folie à Deux,7.7,"['Zazie Beetz', 'Joaquin Phoenix', 'Lady Gaga', 'Catherine Keener', 'Brendan Gleeson']",Todd Phillips,2024.0,crime,,https://www.imdb.com/title/tt11315808/?ref_=sr_i_20
Parish,6.9,"['Giancarlo Esposito', 'Zackary Momoh', 'Arica Himmel', 'Ivan Mbakop', 'Dax Rey']",Sunu Gonera,2024.0,crime,"""Parish"" disappoints from the start with its attempt at thrilling car chases, featuring unrealistic sequences that leave viewers puzzled. In one instance, the main character stops for police only to flee when they're close, a baffling move that undermines the show's credibility. This lack of logic robs the action scenes of genuine excitement.As the story progresses, typical financial drama unfolds with mounting struggles to pay the mortgage and afford basic necessities. Despite attempts to inject tension, the contrived situations fail to engage. It's clear ""Parish"" won't reach the heights of acclaimed shows like Breaking Bad or Better Call Saul.",https://www.imdb.com/title/tt18552362/?ref_=sr_i_21
Peaky Blinders,8.8,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory', 'Ned Dennehy']",Creator,2013.0,crime,"In Peaky Blinders we follow a family after the First World War that is always looking for power and money. But a policeman arriving at the city is looking to stop this family, but it's not easy. It will also be noticeable the segregated fight of ghettos like Italians, gypsies, local gangsters and Jews. Peaky Blinders is an excellent gangster drama full of rich, interesting and diverse characters. The fact that Peaky Blinders is a crime series can give the impression that characters are macho men. But this is not true. The series also incorporates many powerful female characters. It has an excellent cast and script. Thomas is a character who uses his strategic intelligence and applies violence to his own ends without hesitation. The film music is the highlight of the series along with Cillian Murphy and Tom Hardy. The director does resort to a modern soundtrack that reflects the fiction.It is estimated that one episode of the series is worth 1 million and 1.5 million euros. This means a rich, detailed and beautiful work of art. Constantly supporting the narrative structure visually, Peaky Blinders often touches upon the working conditions of the working class in Birmingham. Peaky Blinders, with a color scale that chooses to contrast between pale blues and greens, and contrasts with the shades of red, makes the strongest manifestation of emotions in the midst of this unknown, while attributing a distinct obscurity to Birmingham's misty air. Also, the visual effects used from time to time are quite clever. The visual effects used are also quite compatible with the historical theme of the series.Peaky Blinders makes each episode a separate action and drama. It's a breathtaking series where you can see the rise of Peaky Blinders. 9/10",https://www.imdb.com/title/tt2442560/?ref_=sr_i_22
Tracker,6.8,"['Justin Hartley', 'Robin Weigert', 'Abby McEnany', 'Eric Graise', 'Fiona Rene']",Creator,2024.0,crime,"April 2024: I just changed my rating from a 4 to a 7. The show has gotten better all around. Definitely give it a try.Original Review (before update above)
I really wanted to like this new show and was eager to see it. After watching the first episode, however, I am extremely disappointed. It's just terrible. I don't think it's Justin Hartley but everything else about it: the other characters (all predictable, all caricatures, some terribly acted), and the plot (again, predictable and trite). Some other viewers have suggested Justin Hartley's acting is stiff and bad. I don't think so; in fact, I think he's pretty good in this. But that can't compensate for the banal script and terrible plot. I might give it one more try and watch the second episode, but if it isn't exponentially better, I'm giving up.",https://www.imdb.com/title/tt13875494/?ref_=sr_i_23
Dexter,8.6,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar', 'C.S. Lee']",Creator,2006.0,crime,"After four episodes, I'm ready to proclaim this the best show currently on TV, one that may someday rank with the likes of _The Sopranos_ and the first season of _Twin Peaks_ as a contender for the second best TV show ever (after the incomparable _Buffy the Vampire Slayer_; one of the show's producers and writers is former Buffy writer Drew Z. Greenberg, and the cast includes Buffy / Angel mainstay Julie Benz).Dexter is a sociopath, someone with no human feelings and hence no natural, inner moral compass, and he has an unquenchable blood lust that drives him to kill. But he had the great grace to have been the adopted child of a police officer, who (as we see in terrific flashbacks) successfully instilled in him a complete moral code, which he adheres to on a strictly intellectual level. This is an utterly brilliant concept (which I assume derives from the novels it's based on), one that allows the writers to explore the nature of moral behavior and of what it means to be human (Dexter is, in a sense, an alien).Another thing the show is doing brilliantly is moving at different speeds in parallel. There is a primary apparent season-long story arc (concerning a cat-and-mouse game between Dexter and a serial killer), and a a secondary arc involving Dexter's sister's police career. The first handful of episodes include a very powerful completed arc concerning one of Dexter's police colleagues and a local crime lord, while two of the four episodes so far have also included a self-contained story spliced among (and playing off) the ongoing ones. I've seen the future of TV season structuring, and this is it.While the writing isn't quite up to the brilliance of the best of _House_, it's been excellent. The cast and production are terrific. The only reason you wouldn't want to watch this utterly brilliant show is the frequent use of extremely graphic images: there have probably been more severed body parts shown in these first four episodes than in the first four episodes of every other TV show on the air combined. If you can stomach that, tune it for a mesmerizing look at what makes us human -- or inhuman.",https://www.imdb.com/title/tt0773262/?ref_=sr_i_24
The Little Things,6.3,"['Denzel Washington', 'Rami Malek', 'Jared Leto', 'Chris Bauer', 'Michael Hyatt']",John Lee Hancock,2021.0,crime,"People are so used to gun fights and car chases when it comes to detective stories these days. Especially in movies. This was a deep dive into how frustrating real police work can be. A lot of fumbling around in the dark, chasing your tails, being obstructed by the very law you swear to uphold. The real question the movie poses is how far are you willing to go in order to catch a killer?",https://www.imdb.com/title/tt10016180/?ref_=sr_i_25
Death in Paradise,7.8,"['Elizabeth Bourgine', 'Don Warrington', 'Danny John-Jules', 'Joséphine Jobert', 'Tobi Bakare']",Creator,2011.0,crime,"It's 2020, and I'll try and give my thoughts, a snapshot on the series so far. It's still remarkably successful, it's even now commanding massive audiences, greater than the first few series even.It's normally transmitted in January, it's cold, wet and after Christmas, a little bit grim. Death in Paradise offers sunshine, fun and murder.We will all have our favourites as to best Detective and favourite cops, but each has had their moments, I've enjoyed them all. We've had some terrific episodes, my favourite story thus far has been 2019's Beyond the Shining Sea, it showed that years after it started it could still shock, entertain and remain hugely relevant, the show has never suffered fatigue or become stale.It comes as no surprise to me that it keeps on going. 8/10",https://www.imdb.com/title/tt1888075/?ref_=sr_i_26
Brooklyn Nine-Nine,8.4,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero', 'Joe Lo Truglio']",Creators,2013.0,crime,"I respect that different people have different tastes in music, clothes, women, movies etc...but if you are saying that this show is bad I really feel like your sense of humor is lacking. I'm a detective for one of the largest police departments in the country and I will advise everyone that doesn't realize it but this show is closer to how real police go about their day than any of those CSI, or garbage procedural shows. Cops do all that stuff all day...pranking each other, busting balls, trying to have a little fun. The job gets a little heavy sometimes so if we didn't have some fun it would be long days. This show is hilarious and perfectly timed retorts by Braugher and Crews are classic. Its the low key lines that make I hilarious...the over the top cheap laughs are somethkng all shows have to do to please the masses...who are stupid. Pay attention to the underlying comedy...its priceless.......""Terry does love yogurt""",https://www.imdb.com/title/tt2467372/?ref_=sr_i_27
American Rust,7.3,"['Jeff Daniels', 'Maura Tierney', 'David Alvarez', 'Julia Mayorga', 'Alex Neustaedter']",Creator,2021.0,crime,"I think a lot of reviewers must not know the lighting on this show is mood lighting to emphasize the darkness, dreary area and somber mood of the town's residents. The events would be much less effective if it was bright, sunny, cheery lighting. I can't believe I feel the need to make a case for different types of lighting on a film project. And the cast is top-notch. The reviewers must not watch tv or film to not know who these stars are. It's a very well written adaptation from a book.",https://www.imdb.com/title/tt1532495/?ref_=sr_i_28
Will Trent,7.7,"['Ramón Rodríguez', 'Erika Christensen', 'Iantha Richardson', 'Jake McLaughlin', 'Sonja Sohn']",Creators,2023.0,crime,"I cannot get enough of this show! I love the characters, the dialogue, the humor and I especially love that the characters are so beautifully, and interestingly flawed! All the feels when watching this, because you can identify with the characters on the show!It's smart, funny, touching, and even suspenseful at brief moments. The music alone in certain scenes is its own character in the show.There are very few TV shows that leave you wanting so much more. I hope it never loses it's momentum and that special something that continuously draws you in. Hate having to wait a week for the next episode, but I e realized that it is so worth it!",https://www.imdb.com/title/tt17543592/?ref_=sr_i_29
