title,actor name,director name,year,genre,aggregate value
"Schelme von Schelm, Die","Goz, Harry","Kaminski, Albert Hanan",1995,Comedy,"Schelme von Schelm, Die (1995) Goz, Harry Kaminski, Albert Hanan 1995 Comedy"
Abbott and Costello Meet the Keystone Kops,"Wilcox, Frank","Lamont, Charles",1955,Comedy,"Abbott and Costello Meet the Keystone Kops (1955) Wilcox, Frank Lamont, Charles 1955 Comedy"
Fright Night,"Wessel, Dick","Bernds, Edward",1947,Short,"Fright Night (1947) Wessel, Dick Bernds, Edward 1947 Short"
Basti,"Khan, Kader (I)",,2003,Crime,"Basti (2003) Khan, Kader (I)  2003 Crime"
Framed,"Wells, Lillian","Wallace, Richard (I)",1947,Drama,"Framed (1947) Wells, Lillian Wallace, Richard (I) 1947 Drama"
"Foxes of Harrow, The","Charlot, Andr?","Stahl, John M.",1947,Drama,"Foxes of Harrow, The (1947) Charlot, Andr? Stahl, John M. 1947 Drama"
1408,"McCormack, Mary","H?fstr?m, Mikael",2007,Horror,"1408 (2007) McCormack, Mary H?fstr?m, Mikael 2007 Horror"
Nocna zmiana,"W?jcik, Tadeusz","Balcerzak, Michal",1995,Documentary,"Nocna zmiana (1995) (TV) W?jcik, Tadeusz Balcerzak, Michal 1995 Documentary"
"Shaggy Dog, The","Sander, Casey","Robbins, Brian (I)",2006,Comedy,"Shaggy Dog, The (2006) Sander, Casey Robbins, Brian (I) 2006 Comedy"
Dr. Chopper,"Razzari, Leyla","Schoenbrun, Lewis",2005,Horror,"Dr. Chopper (2005) (V) Razzari, Leyla Schoenbrun, Lewis 2005 Horror"
Sabse Bada Khiladi,"Nagrath, Anil","Mehra, Umesh (I)",1995,Action,"Sabse Bada Khiladi (1995) Nagrath, Anil Mehra, Umesh (I) 1995 Action"
Sabrina,"Lum, Alvin","Pollack, Sydney",1995,Comedy,"Sabrina (1995) Lum, Alvin Pollack, Sydney 1995 Comedy"
Edakalla Guddada Mele,,"Kanagal, S.R. Puttana",1973,,"Edakalla Guddada Mele (1973)  Kanagal, S.R. Puttana 1973"
Last Orders,"Deigman, Emma","Schepisi, Fred",2001,Drama,"Last Orders (2001) Deigman, Emma Schepisi, Fred 2001 Drama"
Phantasm IV: Oblivion,"Jessup, Colin","Coscarelli, Don",1998,Horror,"Phantasm IV: Oblivion (1998) Jessup, Colin Coscarelli, Don 1998 Horror"
Pi,"Shoaib, Samia","Aronofsky, Darren",1998,Sci-Fi,"Pi (1998) Shoaib, Samia Aronofsky, Darren 1998 Sci-Fi"
"Fabulous Dorseys, The","Bauduc, Ray","Green, Alfred E.",1947,Music,"Fabulous Dorseys, The (1947) Bauduc, Ray Green, Alfred E. 1947 Music"
Largo Winch,,"Salle, J?r?me",2008,Thriller,"Largo Winch (2008)  Salle, J?r?me 2008 Thriller"
Kogitsune Helen,"Fujimura, Shunji","Kono, Keita",2006,Drama,"Kogitsune Helen (2006) Fujimura, Shunji Kono, Keita 2006 Drama"
Sethurama Iyer CBI,Jagadish,"Madhu, K.",2004,Thriller,"Sethurama Iyer CBI (2004) Jagadish Madhu, K. 2004 Thriller"
Darkness Falls,"Bawden, Louisa","Lively, Gerry",1999,Thriller,"Darkness Falls (1999) Bawden, Louisa Lively, Gerry 1999 Thriller"
Ultimate Avengers,"Worden, Marc","Richardson, Bob (I)",2006,Sci-Fi,"Ultimate Avengers (2006) (V) Worden, Marc Richardson, Bob (I) 2006 Sci-Fi"
It's a Wild Life,"Blaisdell, William","Pratt, Gilbert",1918,Short,"It's a Wild Life (1918) Blaisdell, William Pratt, Gilbert 1918 Short"
Joshua,"Bloom, Tom (I)","Ratliff, George (I)",2007,Thriller,"Joshua (2007) Bloom, Tom (I) Ratliff, George (I) 2007 Thriller"
Hamlet,"Warrington, Don","Branagh, Kenneth",1996,Romance,"Hamlet (1996) Warrington, Don Branagh, Kenneth 1996 Romance"
Mulan cong jun,"Mei, Xi","Bu, Wancang",1939,,"Mulan cong jun (1939) Mei, Xi Bu, Wancang 1939"
"Farmer's Daughter, The","Ferguson, Frank (I)","Potter, H.C.",1947,Comedy,"Farmer's Daughter, The (1947) Ferguson, Frank (I) Potter, H.C. 1947 Comedy"
Safe,"Dong, Tricia","Haynes, Todd",1995,Thriller,"Safe (1995) Dong, Tricia Haynes, Todd 1995 Thriller"
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","Duerr, Robert","Morris, Errol",1999,Biography,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999) Duerr, Robert Morris, Errol 1999 Biography"
Love,"Shirey, Sxip","Nikolic, Vladan (I)",2005,Drama,"Love (2005) Shirey, Sxip Nikolic, Vladan (I) 2005 Drama"
Fear in the Night,"Warren, Janet","Shane, Maxwell",1947,Film-Noir,"Fear in the Night (1947) Warren, Janet Shane, Maxwell 1947 Film-Noir"
Puzzlehead,"Lampert, Mark (III)","Bai, James",2005,Drama,"Puzzlehead (2005) Lampert, Mark (III) Bai, James 2005 Drama"
Chasing Papi,"Detotto, Mariette Areco","Mendoza, Linda (I)",2003,Comedy,"Chasing Papi (2003) Detotto, Mariette Areco Mendoza, Linda (I) 2003 Comedy"
Nemesis Game,"Owen, Rena","Warn, Jesse",2003,Thriller,"Nemesis Game (2003) Owen, Rena Warn, Jesse 2003 Thriller"
Sense and Sensibility,"Vidahl, Lone","Lee, Ang",1995,Comedy,"Sense and Sensibility (1995) Vidahl, Lone Lee, Ang 1995 Comedy"
"Gunpowder, Treason & Plot","Bendeac, Mihai","MacKinnon, Gillies",2004,Drama,"Gunpowder, Treason & Plot (2004) (TV) Bendeac, Mihai MacKinnon, Gillies 2004 Drama"
Awaara,"Chitnis, Leela","Kapoor, Raj (I)",1951,Drama,"Awaara (1951) Chitnis, Leela Kapoor, Raj (I) 1951 Drama"
Jesus,"Nair, Thikkurisi Sukumaran","Thomas, P.A.",1973,,"Jesus (1973) Nair, Thikkurisi Sukumaran Thomas, P.A. 1973"
Baazi,"Verman, Roopa","Dutt, Guru (I)",1951,Drama,"Baazi (1951) Verman, Roopa Dutt, Guru (I) 1951 Drama"
Baby Sitters' Jitters,"Healey, Myron","White, Jules",1951,Short,"Baby Sitters' Jitters (1951) Healey, Myron White, Jules 1951 Short"
God in Government,"Keith, Larry (I)","Lambert, Sarah",2004,Documentary,"God in Government (2004) (TV) Keith, Larry (I) Lambert, Sarah 2004 Documentary"
Love,"St. John, Al","Arbuckle, Roscoe 'Fatty'",1919,Short,"Love (1919) St. John, Al Arbuckle, Roscoe 'Fatty' 1919 Short"
Dushman,"Khemu, Kunal","Chandra, Tanuja",1998,Crime,"Dushman (1998) Khemu, Kunal Chandra, Tanuja 1998 Crime"
Amor de oto?o,"Duncan, Alejandro","Castelli, Jos? Conrado",1996,Drama,"Amor de oto?o (1996) Duncan, Alejandro Castelli, Jos? Conrado 1996 Drama"
Serving in Silence: The Margarethe Cammermeyer Story,"Dane, Eric","Bleckner, Jeff",1995,Drama,"Serving in Silence: The Margarethe Cammermeyer Story (1995) (TV) Dane, Eric Bleckner, Jeff 1995 Drama"
Bakush?,"Awashima, Chikage","Ozu, Yasujiro",1951,Drama,"Bakush? (1951) Awashima, Chikage Ozu, Yasujiro 1951 Drama"
Edtv,"Karin, Anna (I)","Howard, Ron (I)",1999,Comedy,"Edtv (1999) Karin, Anna (I) Howard, Ron (I) 1999 Comedy"
Let's Go,"Blaisdell, William","Goulding, Alfred J.",1918,Short,"Let's Go (1918) Blaisdell, William Goulding, Alfred J. 1918 Short"
5 Rifles,"Kapoor, Kamal","Johar, I.S.",1974,Comedy,"5 Rifles (1974) Kapoor, Kamal Johar, I.S. 1974 Comedy"
'Ch?' kowai hanashi A: yami no karasu,"Iwao, Takaaki","Hoshino, Yoshihiro",2004,Horror,"'Ch?' kowai hanashi A: yami no karasu (2004) Iwao, Takaaki Hoshino, Yoshihiro 2004 Horror"
Son of the Mask,"McClelland, Alyssa","Guterman, Lawrence",2005,Comedy,"Son of the Mask (2005) McClelland, Alyssa Guterman, Lawrence 2005 Comedy"
"Ugly, The","Bessant, Shane","Reynolds, Scott (I)",1997,Horror,"Ugly, The (1997) Bessant, Shane Reynolds, Scott (I) 1997 Horror"
Ulee's Gold,"Fonda, Peter (I)","Nunez, Victor",1997,Drama,"Ulee's Gold (1997) Fonda, Peter (I) Nunez, Victor 1997 Drama"
Unagi,"Mitsuishi, Ken","Imamura, Shohei",1997,Drama,"Unagi (1997) Mitsuishi, Ken Imamura, Shohei 1997 Drama"
Uncut,"MacIvor, Daniel","Greyson, John",1997,Comedy,"Uncut (1997) MacIvor, Daniel Greyson, John 1997 Comedy"
Bedtime for Bonzo,"White, Jesse (I)","De Cordova, Frederick",1951,Comedy,"Bedtime for Bonzo (1951) White, Jesse (I) De Cordova, Frederick 1951 Comedy"
Ilamai Oonjal Aadukirathu,Sripriya,Sridhar (I),1978,,Ilamai Oonjal Aadukirathu (1978) Sripriya Sridhar (I) 1978
Simon,"Hensema, Marcel","Terstall, Eddy",2004,Comedy,"Simon (2004) Hensema, Marcel Terstall, Eddy 2004 Comedy"
"Gens d'Angkor, Les",,"Panh, Rithy",2003,Documentary,"Gens d'Angkor, Les (2003)  Panh, Rithy 2003 Documentary"
"Road to El Dorado, The","Cummings, Jim (I)","Bergeron, Bibo",2000,Comedy,"Road to El Dorado, The (2000) Cummings, Jim (I) Bergeron, Bibo 2000 Comedy"
Best of the Badmen,"Tyler, Tom (I)","Russell, William D.",1951,Western,"Best of the Badmen (1951) Tyler, Tom (I) Russell, William D. 1951 Western"
Bellissima,"Magnani, Anna","Visconti, Luchino",1951,Drama,"Bellissima (1951) Magnani, Anna Visconti, Luchino 1951 Drama"
"Lamb, The","Blaisdell, William","Pratt, Gilbert",1918,Short,"Lamb, The (1918) Blaisdell, William Pratt, Gilbert 1918 Short"
Priklyucheniya Elektronika,"Skromny, Vasili","Bromberg, Konstantin",1980,Comedy,"Priklyucheniya Elektronika (1980) (TV) Skromny, Vasili Bromberg, Konstantin 1980 Comedy"
Yoki na gyangu ga chikyu o mawasu,"Matsuda, Shota","Maeda, Tetsu",2006,Comedy,"Yoki na gyangu ga chikyu o mawasu (2006) Matsuda, Shota Maeda, Tetsu 2006 Comedy"
Ace in the Hole,"Douglas, Kirk (I)","Wilder, Billy",1951,Drama,"Ace in the Hole (1951) Douglas, Kirk (I) Wilder, Billy 1951 Drama"
Se7en,"Zacapa, Daniel","Fincher, David",1995,Thriller,"Se7en (1995) Zacapa, Daniel Fincher, David 1995 Thriller"
Screamers,"Boa, Bruce","Duguay, Christian (I)",1995,Horror,"Screamers (1995) Boa, Bruce Duguay, Christian (I) 1995 Horror"
Santosham,Shreya,Dasaradh,2002,Drama,Santosham (2002) Shreya Dasaradh 2002 Drama
Desert Fury,"Flavin, James","Allen, Lewis (I)",1947,Drama,"Desert Fury (1947) Flavin, James Allen, Lewis (I) 1947 Drama"
Scary Movie 4,"Barroll, Catherine","Zucker, David (I)",2006,Comedy,"Scary Movie 4 (2006) Barroll, Catherine Zucker, David (I) 2006 Comedy"
Whatever Happened to Harold Smith?,"Appa, Janita","Hewitt, Peter",1999,Comedy,"Whatever Happened to Harold Smith? (1999) Appa, Janita Hewitt, Peter 1999 Comedy"
Desperate,"Saxe, Carl","Mann, Anthony (I)",1947,Drama,"Desperate (1947) Saxe, Carl Mann, Anthony (I) 1947 Drama"
Dersu Uzala,"Zhakibayev, Kasym","Babayan, Agasi",1961,Adventure,"Dersu Uzala (1961) Zhakibayev, Kasym Babayan, Agasi 1961 Adventure"
"Devil Thumbs a Ride, The","Lawford, Betty","Feist, Felix E.",1947,Drama,"Devil Thumbs a Ride, The (1947) Lawford, Betty Feist, Felix E. 1947 Drama"
"Black Hole, The","Wood, Susan (I)","Tak?cs, Tibor (I)",2006,Drama,"Black Hole, The (2006) (TV) Wood, Susan (I) Tak?cs, Tibor (I) 2006 Drama"
Animal Farm,"Denham, Maurice","Batchelor, Joy",1954,Drama,"Animal Farm (1954) Denham, Maurice Batchelor, Joy 1954 Drama"
You Can't Run Away from It,"Youngman, Henny","Powell, Dick (I)",1956,Comedy,"You Can't Run Away from It (1956) Youngman, Henny Powell, Dick (I) 1956 Comedy"
Mean Girls,"Christensen, Kaylen","Waters, Mark (VIII)",2004,Comedy,"Mean Girls (2004) Christensen, Kaylen Waters, Mark (VIII) 2004 Comedy"
High School High,"Ardolino, Isaac","Bochner, Hart",1996,Comedy,"High School High (1996) Ardolino, Isaac Bochner, Hart 1996 Comedy"
Aquanoids,"Clark, David (X)","Peschke, Reinhart 'Rayteam'",2003,Horror,"Aquanoids (2003) Clark, David (X) Peschke, Reinhart 'Rayteam' 2003 Horror"
On Dangerous Ground,"Mersereau, Violet","Henderson, Lucius",1915,Short,"On Dangerous Ground (1915) Mersereau, Violet Henderson, Lucius 1915 Short"
Hellraiser: Bloodline,"Brown, Wren T.","Chappelle, Joe",1996,Horror,"Hellraiser: Bloodline (1996) Brown, Wren T. Chappelle, Joe 1996 Horror"
Dark Passage,"Walsh, Richard (I)","Daves, Delmer",1947,Thriller,"Dark Passage (1947) Walsh, Richard (I) Daves, Delmer 1947 Thriller"
Dead Reckoning,"Wells, Lillian","Cromwell, John",1947,Mystery,"Dead Reckoning (1947) Wells, Lillian Cromwell, John 1947 Mystery"
X: The Unknown,"Duncan, Archie","Norman, Leslie",1956,Horror,"X: The Unknown (1956) Duncan, Archie Norman, Leslie 1956 Horror"
Mixed Nuts,"Asher, Max","Parrott, James",1922,Short,"Mixed Nuts (1922) Asher, Max Parrott, James 1922 Short"
Anacondas: The Hunt for the Blood Orchid,"Do, Khoa","Little, Dwight H.",2004,Horror,"Anacondas: The Hunt for the Blood Orchid (2004) Do, Khoa Little, Dwight H. 2004 Horror"
"Amor nunca muere, El","Franco, Herminia","Amadori, Luis C?sar",1955,Drama,"Amor nunca muere, El (1955) Franco, Herminia Amadori, Luis C?sar 1955 Drama"
Wetback: The Undocumented Documentary,,"Torres, Arturo Perez",2005,Documentary,"Wetback: The Undocumented Documentary (2005)  Torres, Arturo Perez 2005 Documentary"
Amici per la pelle,"Tosi, Luigi","Rossi, Franco (I)",1955,Comedy,"Amici per la pelle (1955) Tosi, Luigi Rossi, Franco (I) 1955 Comedy"
World Without End,"Taylor, Rod (I)","Bernds, Edward",1956,Sci-Fi,"World Without End (1956) Taylor, Rod (I) Bernds, Edward 1956 Sci-Fi"
"Amiche, Le","Ferri, Marcella","Antonioni, Michelangelo",1955,Drama,"Amiche, Le (1955) Ferri, Marcella Antonioni, Michelangelo 1955 Drama"
Anarkali,"Peketi, Sivaram","Raghavaiah, Vedantam",1955,Drama,"Anarkali (1955) Peketi, Sivaram Raghavaiah, Vedantam 1955 Drama"
Aram,"Hatchikian, Zare","Kechichian, Robert",2002,Drama,"Aram (2002) Hatchikian, Zare Kechichian, Robert 2002 Drama"
Hercule et Sherlock,"Bari, St?phane","Szwarc, Jeannot",1996,Comedy,"Hercule et Sherlock (1996) Bari, St?phane Szwarc, Jeannot 1996 Comedy"
"Vuelta al nido, La","Renato, Julio","Torres R?os, Leopoldo",1938,Drama,"Vuelta al nido, La (1938) Renato, Julio Torres R?os, Leopoldo 1938 Drama"
Dark Harvest,"Eldridge, Jason","Moore, Paul (VIII)",2004,Horror,"Dark Harvest (2004) (V) Eldridge, Jason Moore, Paul (VIII) 2004 Horror"
Heaven's Prisoners,"Baldwin, Alec","Joanou, Phil",1996,Thriller,"Heaven's Prisoners (1996) Baldwin, Alec Joanou, Phil 1996 Thriller"
"Dark, The","Bello, Maria (I)","Fawcett, John (I)",2005,Horror,"Dark, The (2005) Bello, Maria (I) Fawcett, John (I) 2005 Horror"
Head Above Water,"Sheffer, Craig","Wilson, Jim (I)",1996,Thriller,"Head Above Water (1996) Sheffer, Craig Wilson, Jim (I) 1996 Thriller"
Hoot Mon!,"Clifton, Harry","Roach, Hal",1919,Short,"Hoot Mon! (1919) Clifton, Harry Roach, Hal 1919 Short"
Blondie,"Britton, Pamela","Freedman, Gerald",1957,Comedy,"Blondie (1957) Britton, Pamela Freedman, Gerald 1957 Comedy"
Stalin,"L.B., Sriram","Murugadoss, A.R.",2006,Drama,"Stalin (2006) L.B., Sriram Murugadoss, A.R. 2006 Drama"
Roommates,"Tom, David","Yates, Peter (I)",1995,Comedy,"Roommates (1995) Tom, David Yates, Peter (I) 1995 Comedy"
Like Mike 2: Streetball,"Hopps, Leslie","Nelson, David (V)",2006,Comedy,"Like Mike 2: Streetball (2006) (V) Hopps, Leslie Nelson, David (V) 2006 Comedy"
Alexandra's Project,"Graham, Duncan","de Heer, Rolf",2003,Drama,"Alexandra's Project (2003) Graham, Duncan de Heer, Rolf 2003 Drama"
Richard III,"West, Dominic","Loncraine, Richard",1995,Drama,"Richard III (1995) West, Dominic Loncraine, Richard 1995 Drama"
Garfield,"Hoag, Bill","Hewitt, Peter",2004,Comedy,"Garfield (2004) Hoag, Bill Hewitt, Peter 2004 Comedy"
De battre mon coeur s'est arr?t?,"Cohen, Gilles","Audiard, Jacques",2005,Drama,"De battre mon coeur s'est arr?t? (2005) Cohen, Gilles Audiard, Jacques 2005 Drama"
"Frightful Blunder, A","Bruce, Kate (I)","O'Sullivan, Anthony",1913,Short,"Frightful Blunder, A (1913) Bruce, Kate (I) O'Sullivan, Anthony 1913 Short"
Hit Him Again,"Zany, King","Pratt, Gilbert",1918,Short,"Hit Him Again (1918) Zany, King Pratt, Gilbert 1918 Short"
Bad Day at Black Rock,"Borgnine, Ernest","Sturges, John",1955,Drama,"Bad Day at Black Rock (1955) Borgnine, Ernest Sturges, John 1955 Drama"
Ayer fue primavera,"Simari, Tom?s","Ayala, Fernando",1955,Drama,"Ayer fue primavera (1955) Simari, Tom?s Ayala, Fernando 1955 Drama"
Rob Roy,"Nwanze, Valentine","Caton-Jones, Michael",1995,Drama,"Rob Roy (1995) Nwanze, Valentine Caton-Jones, Michael 1995 Drama"
Day of the Dead 2: Contagium,"Kemp, Shannon","Dudelson, James Glenn",2005,Horror,"Day of the Dead 2: Contagium (2005) (V) Kemp, Shannon Dudelson, James Glenn 2005 Horror"
Unknown,"Justice, Victoria","Brand, Simon (I)",2006,Drama,"Unknown (2006) Justice, Victoria Brand, Simon (I) 2006 Drama"
"Wicker Man, The","Holmes, Emily","LaBute, Neil",2006,Horror,"Wicker Man, The (2006) Holmes, Emily LaBute, Neil 2006 Horror"
"End of the River, The","Ellington, Ray","Twist, Derek N.",1947,Drama,"End of the River, The (1947) Ellington, Ray Twist, Derek N. 1947 Drama"
Shou ji,"Lu, Zhang (I)","Feng, Xiaogang",2003,Comedy,"Shou ji (2003) Lu, Zhang (I) Feng, Xiaogang 2003 Comedy"
House Arrest,"Winer, Rosie","Winer, Harry",1996,Comedy,"House Arrest (1996) Winer, Rosie Winer, Harry 1996 Comedy"
Fong juk,"Hui, Shiu Hung","To, Johnny",2006,Thriller,"Fong juk (2006) Hui, Shiu Hung To, Johnny 2006 Thriller"
"Bidone, Il","Zanoli, Maria","Fellini, Federico",1955,Comedy,"Bidone, Il (1955) Zanoli, Maria Fellini, Federico 1955 Comedy"
"Big Combo, The","Conte, Richard","Lewis, Joseph H.",1955,Drama,"Big Combo, The (1955) Conte, Richard Lewis, Joseph H. 1955 Drama"
Dreams That Money Can Buy,"Laterie, Anthony","Richter, Hans (II)",1947,Fantasy,"Dreams That Money Can Buy (1947) Laterie, Anthony Richter, Hans (II) 1947 Fantasy"
Battle Cry,"Parker, Eddie (I)","Walsh, Raoul",1955,Drama,"Battle Cry (1955) Parker, Eddie (I) Walsh, Raoul 1955 Drama"
"Forgotten, The","Stellato, Frank","Ruben, Joseph",2004,Drama,"Forgotten, The (2004) Stellato, Frank Ruben, Joseph 2004 Drama"
Shutter,"Naruepatr, Kachormsak","Wongpoom, Parkpoom",2004,Horror,"Shutter (2004/II) Naruepatr, Kachormsak Wongpoom, Parkpoom 2004 Horror"
Foolproof,"Allodi, James","Phillips, William (VIII)",2003,Crime,"Foolproof (2003) Allodi, James Phillips, William (VIII) 2003 Crime"
Quasi at the Quackadero,,"Cruikshank, Sally",1976,Short,"Quasi at the Quackadero (1976)  Cruikshank, Sally 1976 Short"
Marked Men,"MacDonald, J. Farrell","Ford, John (I)",1919,Western,"Marked Men (1919) MacDonald, J. Farrell Ford, John (I) 1919 Western"
"Egg and I, The","Hiser, Joe","Erskine, Chester",1947,Comedy,"Egg and I, The (1947) Hiser, Joe Erskine, Chester 1947 Comedy"
Climax!,"Colbert, Claudette",,1954,,"Climax! (1954) {The White Carnation (#1.9)} Colbert, Claudette  1954"
"Marathon, The","Brooks, Sammy","Goulding, Alfred J.",1919,Short,"Marathon, The (1919) Brooks, Sammy Goulding, Alfred J. 1919 Short"
"Double Life, A","MacKenzie, Phil (I)","Cukor, George",1947,Crime,"Double Life, A (1947) MacKenzie, Phil (I) Cukor, George 1947 Crime"
"Abrazo partido, El","del ?guila, Gerardo","Burman, Daniel",2004,Comedy,"Abrazo partido, El (2004) del ?guila, Gerardo Burman, Daniel 2004 Comedy"
S Club Seeing Double,"Garc?a, Estefan?a","Dick, Nigel",2003,Comedy,"S Club Seeing Double (2003) Garc?a, Estefan?a Dick, Nigel 2003 Comedy"
Appointment in London,"Kydd, Sam","Leacock, Philip",1952,Drama,"Appointment in London (1952) Kydd, Sam Leacock, Philip 1952 Drama"
Homeward Bound II: Lost in San Francisco,Sinbad,"Ellis, David R.",1996,Comedy,"Homeward Bound II: Lost in San Francisco (1996) Sinbad Ellis, David R. 1996 Comedy"
Bride of the Monster,"Johnson, Tor","Wood Jr., Edward D.",1955,Horror,"Bride of the Monster (1955) Johnson, Tor Wood Jr., Edward D. 1955 Horror"
"First Year, The","McWade, Robert (I)","Howard, William K. (I)",1932,Comedy,"First Year, The (1932) McWade, Robert (I) Howard, William K. (I) 1932 Comedy"
Bring Your Smile Along,"Towers, Constance","Edwards, Blake",1955,Comedy,"Bring Your Smile Along (1955) Towers, Constance Edwards, Blake 1955 Comedy"
"Miracle Man, The","Kurihara, Kisaburo","Tucker, George Loane",1919,Drama,"Miracle Man, The (1919) Kurihara, Kisaburo Tucker, George Loane 1919 Drama"
Flesh,"Barnett, Vince","Ford, John (I)",1932,Drama,"Flesh (1932) Barnett, Vince Ford, John (I) 1932 Drama"
"Big Knife, The","Winters, Shelley","Aldrich, Robert",1955,Drama,"Big Knife, The (1955) Winters, Shelley Aldrich, Robert 1955 Drama"
Dick Tracy's Dilemma,"Crosby, Wade","Rawlins, John (I)",1947,Drama,"Dick Tracy's Dilemma (1947) Crosby, Wade Rawlins, John (I) 1947 Drama"
Dick Tracy Meets Gruesome,"Karloff, Boris","Rawlins, John (I)",1947,Crime,"Dick Tracy Meets Gruesome (1947) Karloff, Boris Rawlins, John (I) 1947 Crime"
Blood Alley,"Chang, W.T.","Wellman, William A.",1955,Adventure,"Blood Alley (1955) Chang, W.T. Wellman, William A. 1955 Adventure"
Blackboard Jungle,"Deacon, Richard","Brooks, Richard (I)",1955,Drama,"Blackboard Jungle (1955) Deacon, Richard Brooks, Richard (I) 1955 Drama"
"Amore in citt?, L'","Moriconi, Valeria","Zavattini, Cesare",1953,Drama,"Amore in citt?, L' (1953) Moriconi, Valeria Zavattini, Cesare 1953 Drama"
Anarkali,"Mayer, Ruby","Jaswantlal, Nandlal",1953,History,"Anarkali (1953) Mayer, Ruby Jaswantlal, Nandlal 1953 History"
"Band Wagon, The","Dickson, Helen (I)","Minnelli, Vincente",1953,Comedy,"Band Wagon, The (1953) Dickson, Helen (I) Minnelli, Vincente 1953 Comedy"
WiseGirls,"Corsetti, Omar","Anspaugh, David",2002,Drama,"WiseGirls (2002) Corsetti, Omar Anspaugh, David 2002 Drama"
Inside the Third Reich,"Wanamaker, Zo?","Chomsky, Marvin J.",1982,Biography,"Inside the Third Reich (1982) (TV) Wanamaker, Zo? Chomsky, Marvin J. 1982 Biography"
Coraz?n salvaje,"Velasco, Armando","Ortega, Juan Jos?",1956,Drama,"Coraz?n salvaje (1956) Velasco, Armando Ortega, Juan Jos? 1956 Drama"
Love's Prisoner,"King, Joe (I)","Dillon, John Francis",1919,Drama,"Love's Prisoner (1919) King, Joe (I) Dillon, John Francis 1919 Drama"
Brigham City,"Nielsen, Jeremy","Dutcher, Richard",2001,Crime,"Brigham City (2001) Nielsen, Jeremy Dutcher, Richard 2001 Crime"
"Farewell to Arms, A","Adair, Alice (I)","Borzage, Frank",1932,Drama,"Farewell to Arms, A (1932) Adair, Alice (I) Borzage, Frank 1932 Drama"
"Karate Dog, The","Croft, Bill","Clark, Bob (III)",2004,Comedy,"Karate Dog, The (2004) Croft, Bill Clark, Bob (III) 2004 Comedy"
Romance & Cigarettes,"Striar, Valerie","Turturro, John",2005,Comedy,"Romance & Cigarettes (2005) Striar, Valerie Turturro, John 2005 Comedy"
Rex regi rebellis,"Ek, Sara","Wikstr?m, Jimi (I)",2003,Short,"Rex regi rebellis (2003) (V) Ek, Sara Wikstr?m, Jimi (I) 2003 Short"
Eat and Run,"Evers, Brian","Hart, Christopher (III)",1986,Comedy,"Eat and Run (1986) Evers, Brian Hart, Christopher (III) 1986 Comedy"
Baaz,"Lateef, M.A.","Dutt, Guru (I)",1953,Drama,"Baaz (1953) Lateef, M.A. Dutt, Guru (I) 1953 Drama"
Climax!,"Colbert, Claudette",,1955,,"Climax! (1954) {The Deliverance of Sister Cecilia (#1.24)} Colbert, Claudette  1955"
Avvaiyyar,"Kumari, Kushala","Subbu, Kothamangalam",1953,,"Avvaiyyar (1953) Kumari, Kushala Subbu, Kothamangalam 1953"
Inchon,"Chan, Grace (I)","Young, Terence",1981,Drama,"Inchon (1981) Chan, Grace (I) Young, Terence 1981 Drama"
Daddy Day Care,"Mercurio, Tara","Carr, Steve (III)",2003,Comedy,"Daddy Day Care (2003) Mercurio, Tara Carr, Steve (III) 2003 Comedy"
Costa!,"van Beenen, Hans","Nijenhuis, Johan",2001,Comedy,"Costa! (2001) van Beenen, Hans Nijenhuis, Johan 2001 Comedy"
Aurat,Roopmala,"Verma, B.",1953,,"Aurat (1953) Roopmala Verma, B. 1953"
Ingenj?r Andr?es luftf?rd,"Harari, Cl?ment","Troell, Jan",1982,Drama,"Ingenj?r Andr?es luftf?rd (1982) Harari, Cl?ment Troell, Jan 1982 Drama"
"Room, The","Minnott, Carolyn","Wiseau, Tommy",2003,Comedy,"Room, The (2003) Minnott, Carolyn Wiseau, Tommy 2003 Comedy"
Brotherhood IV: The Complex,"Kosakoski, Graham","DeCoteau, David",2005,Horror,"Brotherhood IV: The Complex (2005) (V) Kosakoski, Graham DeCoteau, David 2005 Horror"
Sztuka spadania,"Kudelka, Marcin","Baginski, Tomek",2004,Short,"Sztuka spadania (2004) Kudelka, Marcin Baginski, Tomek 2004 Short"
Raggedy Rose,"Davidson, Max (I)","Wallace, Richard (I)",1926,Comedy,"Raggedy Rose (1926) Davidson, Max (I) Wallace, Richard (I) 1926 Comedy"
Dance Dance,Mandakini,"Subhash, Babbar",1987,,"Dance Dance (1987) Mandakini Subhash, Babbar 1987"
Big Leaguer,"Ferguson, Frank (I)","Aldrich, Robert",1953,Drama,"Big Leaguer (1953) Ferguson, Frank (I) Aldrich, Robert 1953 Drama"
Walking on Water,"Jones, Timothy (I)","Ayres, Tony",2002,Comedy,"Walking on Water (2002) Jones, Timothy (I) Ayres, Tony 2002 Comedy"
"Big Heat, The","Lauter, Harry","Lang, Fritz (I)",1953,Thriller,"Big Heat, The (1953) Lauter, Harry Lang, Fritz (I) 1953 Thriller"
"Bigamist, The","Dibbs, Kem","Lupino, Ida",1953,Drama,"Bigamist, The (1953) Dibbs, Kem Lupino, Ida 1953 Drama"
